"experiment","condition","id","parameter","model","RMSD","PEARSON"
"E1","3_average",3,3,"weight_linear_create",0.146666666666667,NA
"E1","3_average",6,1,"weight_window_create",1.84615384615385,NA
"E1","3_average",6,1,"weight_linear_create",0.841025641025641,NA
"E1","3_average",6,2,"weight_window_create",0.338461538461539,NA
"E1","3_average",6,2,"weight_linear_create",0.104615384615385,NA
"E1","3_average",6,3,"weight_window_create",0.0666666666666664,NA
"E1","3_average",6,3,"weight_linear_create",0.217582417582418,NA
"E1","3_average",6,4,"weight_window_create",0.319230769230769,NA
"E1","3_average",6,4,"weight_linear_create",0.342657342657342,NA
"E1","3_average",6,5,"weight_window_create",0.449230769230769,NA
"E1","3_average",6,5,"weight_linear_create",0.401025641025641,NA
"E1","3_average",6,6,"weight_window_create",0.561538461538461,NA
"E1","3_average",6,6,"weight_linear_create",0.434817813765182,NA
"E1","6_adjusted",3,1,"weight_window_create",0.433234702779346,0.834327572015256
"E1","6_adjusted",3,1,"weight_linear_create",0.215628677350037,0.950995775477289
"E1","6_adjusted",3,2,"weight_window_create",0.164082530828473,0.973319072431935
"E1","6_adjusted",3,2,"weight_linear_create",0.154943852220508,0.973360745429929
"E1","6_adjusted",3,3,"weight_window_create",0.153589529557661,0.973499808567059
"E1","6_adjusted",3,3,"weight_linear_create",0.151572949349015,0.9743688195444
"E1","6_adjusted",6,1,"weight_window_create",0.959166304662544,0.534026187397419
"E1","6_adjusted",6,1,"weight_linear_create",0.930765698940816,0.549964533516134
"E1","6_adjusted",6,2,"weight_window_create",0.925285818627869,0.551687417577682
"E1","6_adjusted",6,2,"weight_linear_create",0.562439740361989,0.592870327151897
"E1","6_adjusted",6,3,"weight_window_create",0.587767033330456,0.600433483855035
"E1","6_adjusted",6,3,"weight_linear_create",0.870370061099489,0.565795847399772
"E1","6_adjusted",6,4,"weight_window_create",0.9451800805219,0.537006176113657
"E1","6_adjusted",6,4,"weight_linear_create",1.04417779543959,0.535250477244795
"E1","6_adjusted",6,5,"weight_window_create",1.17865634059753,0.495321083478065
"E1","6_adjusted",6,5,"weight_linear_create",1.12970089915758,0.517110886927411
"E1","6_adjusted",6,6,"weight_window_create",1.37404201281891,0.457461820239229
"E1","6_adjusted",6,6,"weight_linear_create",1.18015610229656,0.505622382083529
"E1","4_average",3,1,"weight_window_create",0.0727272727272723,NA
"E1","4_average",3,1,"weight_linear_create",0.0969696969696967,NA
"E1","4_average",3,2,"weight_window_create",0.109090909090909,NA
"E1","4_average",3,2,"weight_linear_create",0.105050505050505,NA
"E1","4_average",3,3,"weight_window_create",0.109090909090908,NA
"E1","4_average",3,3,"weight_linear_create",0.106666666666666,NA
"E1","4_average",6,1,"weight_window_create",1.12727272727273,NA
"E1","4_average",6,1,"weight_linear_create",0.212121212121212,NA
"E1","4_average",6,2,"weight_window_create",0.245454545454545,NA
"E1","4_average",6,2,"weight_linear_create",0.212727272727273,NA
"E1","4_average",6,3,"weight_window_create",0.678787878787879,NA
"E1","4_average",6,3,"weight_linear_create",0.00779220779220768,NA
"E1","4_average",6,4,"weight_window_create",0.181818181818182,NA
"E1","4_average",6,4,"weight_linear_create",0.112947658402204,NA
"E1","4_average",6,5,"weight_window_create",0.101818181818182,NA
"E1","4_average",6,5,"weight_linear_create",0.162020202020202,NA
"E1","4_average",6,6,"weight_window_create",0.296969696969697,NA
"E1","4_average",6,6,"weight_linear_create",0.190430622009569,NA
"E1","1_average",3,1,"weight_window_create",0.161111111111111,NA
"E1","1_average",3,1,"weight_linear_create",0.181481481481482,NA
"E1","1_average",3,2,"weight_window_create",0.191666666666666,NA
"E1","1_average",3,2,"weight_linear_create",0.175308641975309,NA
"E1","1_average",3,3,"weight_window_create",0.172222222222222,NA
"E1","1_average",3,3,"weight_linear_create",0.174074074074074,NA
"E1","1_average",6,1,"weight_window_create",0.644444444444444,NA
"E1","1_average",6,1,"weight_linear_create",0.461111111111112,NA
"E1","1_average",6,2,"weight_window_create",0.369444444444444,NA
"E1","1_average",6,2,"weight_linear_create",0.0261111111111108,NA
"E1","1_average",6,3,"weight_window_create",0.374074074074074,NA
"E1","1_average",6,3,"weight_linear_create",0.019047619047619,NA
"E1","1_average",6,4,"weight_window_create",0.130555555555556,NA
"E1","1_average",6,4,"weight_linear_create",0.0511784511784517,NA
"E1","1_average",6,5,"weight_window_create",0.00333333333333341,NA
"E1","1_average",6,5,"weight_linear_create",0.0661728395061734,NA
"E1","1_average",6,6,"weight_window_create",0.107407407407408,NA
"E1","1_average",6,6,"weight_linear_create",0.0748538011695907,NA
"E1","6_average",3,1,"weight_window_create",0.0153846153846153,NA
"E1","6_average",3,1,"weight_linear_create",0.0307692307692307,NA
"E1","6_average",3,2,"weight_window_create",0.0538461538461537,NA
"E1","6_average",3,2,"weight_linear_create",0.0205128205128204,NA
"E1","6_average",3,3,"weight_window_create",0.0153846153846153,NA
"E1","6_average",3,3,"weight_linear_create",0.0184615384615388,NA
"E1","6_average",6,1,"weight_window_create",0.661538461538462,NA
"E1","6_average",6,1,"weight_linear_create",0.676923076923077,NA
"E1","6_average",6,2,"weight_window_create",0.684615384615385,NA
"E1","6_average",6,2,"weight_linear_create",0.343076923076923,NA
"E1","6_average",6,3,"weight_window_create",0.605128205128205,NA
"E1","6_average",6,3,"weight_linear_create",0.183882783882784,NA
"E1","6_average",6,4,"weight_window_create",0.103846153846154,NA
"E1","6_average",6,4,"weight_linear_create",0.406993006993007,NA
"E1","6_average",6,5,"weight_window_create",0.501538461538461,NA
"E1","6_average",6,5,"weight_linear_create",0.511111111111111,NA
"E1","6_average",6,6,"weight_window_create",0.797435897435897,NA
"E1","6_average",6,6,"weight_linear_create",0.571390013495277,NA
"E1","6_adjusted_average",3,1,"weight_window_create",0.0153846153846153,NA
"E1","6_adjusted_average",3,1,"weight_linear_create",0.0307692307692307,NA
"E1","6_adjusted_average",3,2,"weight_window_create",0.0538461538461537,NA
"E1","6_adjusted_average",3,2,"weight_linear_create",0.0205128205128204,NA
"E1","6_adjusted_average",3,3,"weight_window_create",0.0153846153846153,NA
"E1","6_adjusted_average",3,3,"weight_linear_create",0.0184615384615388,NA
"E1","6_adjusted_average",6,1,"weight_window_create",0.661538461538462,NA
"E1","6_adjusted_average",6,1,"weight_linear_create",0.676923076923077,NA
"E1","6_adjusted_average",6,2,"weight_window_create",0.684615384615385,NA
"E1","6_adjusted_average",6,2,"weight_linear_create",0.186153846153846,NA
"E1","6_adjusted_average",6,3,"weight_window_create",0.276923076923077,NA
"E1","6_adjusted_average",6,3,"weight_linear_create",0.687912087912088,NA
"E1","6_adjusted_average",6,4,"weight_window_create",0.765384615384615,NA
"E1","6_adjusted_average",6,4,"weight_linear_create",0.888111888111888,NA
"E1","6_adjusted_average",6,5,"weight_window_create",1.03076923076923,NA
"E1","6_adjusted_average",6,5,"weight_linear_create",0.981538461538461,NA
"E1","6_adjusted_average",6,6,"weight_window_create",1.23846153846154,NA
"E1","6_adjusted_average",6,6,"weight_linear_create",1.03562753036437,NA
"E2a","5a_average",3,1,"weight_window_create",0.158333333333333,NA
"E2a","5a_average",3,1,"weight_linear_create",0.0472222222222216,NA
"E2a","5a_average",3,2,"weight_window_create",0.00833333333333375,NA
"E2a","5a_average",3,2,"weight_linear_create",0.0064814814814822,NA
"E2a","5a_average",3,3,"weight_window_create",0.0333333333333341,NA
"E2a","5a_average",3,3,"weight_linear_create",0.0172222222222222,NA
"E2a","5a_average",6,1,"weight_window_create",0.579166666666667,NA
"E2a","5a_average",6,1,"weight_linear_create",0.684722222222222,NA
"E2a","5a_average",6,2,"weight_window_create",0.7375,NA
"E2a","5a_average",6,2,"weight_linear_create",0.0283333333333338,NA
"E2a","5a_average",6,3,"weight_window_create",0.0152777777777775,NA
"E2a","5a_average",6,3,"weight_linear_create",0.433928571428571,NA
"E2a","5a_average",6,4,"weight_window_create",0.43125,NA
"E2a","5a_average",6,4,"weight_linear_create",0.619065656565656,NA
"E2a","5a_average",6,5,"weight_window_create",0.7475,NA
"E2a","5a_average",6,5,"weight_linear_create",0.705462962962963,NA
"E2a","5a_average",6,6,"weight_window_create",0.943055555555556,NA
"E2a","5a_average",6,6,"weight_linear_create",0.755482456140351,NA
"E2a","6_adjusted",3,1,"weight_window_create",0.58309518948453,0.772875837597117
"E2a","6_adjusted",3,1,"weight_linear_create",0.404210642346591,0.883022389607756
"E2a","6_adjusted",3,2,"weight_window_create",0.343303281162798,0.913720398344831
"E2a","6_adjusted",3,2,"weight_linear_create",0.252954325229986,0.952434091015558
"E2a","6_adjusted",3,3,"weight_window_create",0.201055416299289,0.969630927350773
"E2a","6_adjusted",3,3,"weight_linear_create",0.22906296354898,0.960978581916926
"E2a","6_adjusted",6,1,"weight_window_create",1.02469507659596,0.42798117731016
"E2a","6_adjusted",6,1,"weight_linear_create",0.958255690436518,0.434264933333423
"E2a","6_adjusted",6,2,"weight_window_create",0.951815308214982,0.428866731982059
"E2a","6_adjusted",6,2,"weight_linear_create",0.827371051670807,0.402763198203745
"E2a","6_adjusted",6,3,"weight_window_create",0.823593879473906,0.402132394473617
"E2a","6_adjusted",6,3,"weight_linear_create",0.949918017137803,0.376093503580372
"E2a","6_adjusted",6,4,"weight_window_create",0.972157027292549,0.350519304288853
"E2a","6_adjusted",6,4,"weight_linear_create",1.0332935548153,0.356792062991758
"E2a","6_adjusted",6,5,"weight_window_create",1.1008222035413,0.356993890521582
"E2a","6_adjusted",6,5,"weight_linear_create",1.07742687791269,0.346394434090176
"E2a","6_adjusted",6,6,"weight_window_create",1.21222280418417,0.313434080769357
"E2a","6_adjusted",6,6,"weight_linear_create",1.10427804821429,0.33997622203473
"E2a","4_average",3,1,"weight_window_create",0.386666666666667,NA
"E2a","4_average",3,1,"weight_linear_create",0.308888888888888,NA
"E2a","4_average",3,2,"weight_window_create",0.27,NA
"E2a","4_average",3,2,"weight_linear_create",0.218518518518518,NA
"E2a","4_average",3,3,"weight_window_create",0.173333333333333,NA
"E2a","4_average",3,3,"weight_linear_create",0.200444444444445,NA
"E2a","4_average",6,1,"weight_window_create",1.42,NA
"E2a","4_average",6,1,"weight_linear_create",0.477777777777777,NA
"E2a","4_average",6,2,"weight_window_create",0.00666666666666682,NA
